iter	RMSE
0	1110.417588
1	1036.741988
2	967.9179929
3	906.4137378
4	848.1328182
5	794.770666
6	744.0248528
7	697.4330501
8	653.7440931
9	612.6868754
10	576.9322489
11	542.372651
12	510.0842765
13	479.5822559
14	452.1589958
15	426.7636754
16	402.8238145
17	380.4333483
18	360.4984873
19	341.5502618
20	323.5727246
21	307.4735697
22	292.8858418
23	279.1049495
24	266.5769051
25	255.0782643
26	244.2521491
27	234.5147032
28	225.3112162
29	217.1615534
30	209.9366236
31	202.8212404
32	196.3151415
33	190.881011
34	185.4802483
35	180.3974027
36	175.9410732
37	172.2455426
38	168.4316183
39	165.1061791
40	161.9311622
41	159.1704514
42	156.625898
43	154.340382
44	152.4291743
45	150.6772227
46	148.9113877
47	147.4386043
48	146.0266441
49	144.8395148
50	143.5365985
51	142.4298608
52	141.4658055
53	140.5436256
54	139.7701871
55	138.9562523
56	138.2868297
57	137.7168958
58	137.0911444
59	136.1937261
60	135.7109661
61	135.1558537
62	134.6519884
63	133.9708353
64	133.5424884
65	132.8044051
66	132.3692699
67	132.0018695
68	131.5729698
69	131.237262
70	130.9181947
71	130.6514856
72	130.3160204
73	129.7618422
74	129.4004163
75	128.9771252
76	128.7719455
77	128.5130225
78	128.2096523
79	127.9982383
80	127.6951927
81	127.3081067
82	126.9357474
83	126.762904
84	126.5516815
85	126.4066774
86	125.948638
87	125.6356186
88	125.3580335
89	125.081436
90	124.591665
91	124.3446222
92	123.9103578
93	123.5647046
94	123.3812007
95	123.1793381
96	122.8467321
97	122.4962372
98	122.3539583
99	122.2414463
100	122.0290216
101	121.9075397
102	121.7438856
103	121.3909801
104	121.0046841
105	120.872341
106	120.7090264
107	120.4145698
108	120.2604216
109	119.9528748
110	119.7719374
111	119.4719204
112	119.267007
113	118.9777091
114	118.7364851
115	118.6339454
116	118.4428103
117	118.1802649
118	117.8287513
119	117.6584078
120	117.4952756
121	117.3756112
122	117.1743172
123	116.9147011
124	116.6850772
