iter	Passed	Remaining
0	149	74769
1	161	40179
2	170	28164
3	179	22223
4	187	18590
5	195	16092
6	202	14229
7	207	12761
8	212	11589
9	217	10657
10	222	9874
11	226	9226
12	231	8663
13	235	8192
14	240	7768
15	245	7417
16	250	7103
17	255	6831
18	260	6588
19	264	6359
20	269	6158
21	274	5972
22	280	5810
23	285	5670
24	291	5535
25	297	5424
26	303	5313
27	309	5210
28	315	5118
29	321	5033
30	327	4947
31	333	4872
32	339	4803
33	345	4732
34	351	4668
35	357	4608
36	363	4547
37	369	4491
38	375	4442
39	381	4388
40	387	4336
41	393	4288
42	399	4245
43	405	4203
44	411	4160
45	417	4119
46	423	4078
47	428	4039
48	435	4006
49	441	3970
50	446	3933
51	452	3902
52	458	3871
53	464	3839
54	470	3805
55	475	3772
56	481	3742
57	487	3716
58	494	3695
59	500	3669
60	506	3644
61	512	3618
62	518	3597
63	524	3575
64	531	3553
65	537	3536
66	543	3514
67	549	3492
68	555	3470
69	561	3451
70	568	3432
71	574	3413
72	580	3396
73	587	3379
74	592	3359
75	598	3341
76	604	3322
77	611	3305
78	616	3287
79	623	3270
80	628	3251
81	634	3233
82	640	3215
83	645	3198
84	651	3182
85	657	3164
86	663	3147
87	668	3130
88	674	3114
89	679	3096
90	685	3081
91	692	3069
92	698	3055
93	703	3039
94	709	3023
95	715	3011
96	721	2998
97	727	2983
98	733	2969
99	739	2956
100	744	2941
101	750	2930
102	756	2917
103	763	2906
104	769	2895
105	775	2883
106	782	2874
107	788	2861
108	794	2848
109	800	2837
110	805	2824
111	811	2812
112	817	2801
113	824	2790
114	829	2777
115	834	2763
116	840	2751
117	845	2738
118	851	2727
119	857	2715
120	863	2705
121	869	2693
122	874	2680
123	880	2669
124	886	2658
125	891	2646
126	897	2635
127	902	2623
128	908	2612
129	913	2601
130	919	2590
131	925	2580
132	931	2569
133	936	2558
134	942	2547
135	947	2536
136	953	2526
137	958	2515
138	964	2504
139	970	2495
140	975	2484
141	981	2473
142	986	2463
143	992	2452
144	997	2442
145	1002	2431
146	1008	2421
147	1014	2411
148	1019	2402
149	1025	2393
150	1031	2384
151	1037	2374
152	1043	2365
153	1048	2356
154	1054	2346
155	1059	2336
156	1065	2327
157	1070	2317
158	1077	2311
159	1083	2303
160	1089	2293
161	1094	2284
162	1101	2277
163	1106	2267
164	1112	2257
165	1117	2248
166	1122	2239
167	1128	2229
168	1133	2221
169	1139	2211
170	1144	2202
171	1149	2192
172	1155	2183
173	1160	2175
174	1166	2165
175	1172	2157
176	1177	2149
177	1183	2141
178	1189	2133
179	1195	2125
180	1201	2118
181	1207	2109
182	1213	2101
183	1218	2092
184	1224	2084
185	1230	2076
186	1235	2068
187	1241	2061
188	1247	2053
189	1253	2045
190	1260	2039
191	1266	2031
192	1272	2023
193	1278	2016
194	1284	2008
195	1291	2003
196	1298	1996
197	1305	1991
198	1311	1983
199	1317	1976
200	1324	1970
201	1331	1963
202	1338	1957
203	1345	1952
204	1353	1947
205	1360	1941
206	1368	1936
207	1375	1930
208	1382	1924
209	1389	1919
210	1396	1913
211	1403	1906
212	1410	1900
213	1416	1893
214	1423	1886
215	1430	1880
216	1437	1874
217	1444	1868
218	1450	1861
219	1457	1854
220	1464	1848
221	1470	1841
222	1477	1835
223	1484	1829
224	1491	1822
225	1498	1817
226	1506	1811
227	1512	1804
228	1520	1798
229	1527	1793
230	1533	1786
231	1540	1779
232	1546	1772
233	1552	1764
234	1558	1757
235	1564	1749
236	1569	1741
237	1576	1735
238	1584	1730
239	1593	1725
240	1604	1724
241	1612	1718
242	1619	1712
243	1627	1707
244	1635	1702
245	1642	1695
246	1649	1689
247	1655	1682
248	1662	1675
249	1668	1668
250	1674	1661
251	1680	1653
252	1687	1647
253	1692	1639
254	1698	1631
255	1704	1624
256	1710	1617
257	1716	1610
258	1722	1602
259	1727	1594
260	1733	1587
261	1738	1579
262	1744	1571
263	1749	1564
264	1755	1556
265	1760	1548
266	1766	1541
267	1772	1533
268	1777	1526
269	1783	1519
270	1789	1512
271	1795	1505
272	1801	1497
273	1807	1490
274	1812	1483
275	1818	1475
276	1824	1468
277	1830	1461
278	1835	1454
279	1841	1446
280	1846	1439
281	1852	1431
282	1857	1424
283	1862	1416
284	1868	1409
285	1873	1402
286	1879	1395
287	1886	1388
288	1892	1381
289	1897	1374
290	1903	1367
291	1909	1360
292	1914	1352
293	1920	1345
294	1926	1338
295	1931	1331
296	1937	1324
297	1943	1317
298	1949	1310
299	1954	1303
300	1960	1295
301	1965	1288
302	1971	1281
303	1977	1274
304	1983	1268
305	1990	1261
306	1996	1255
307	2002	1248
308	2008	1241
309	2014	1234
310	2020	1227
311	2026	1221
312	2033	1214
313	2039	1208
314	2045	1201
315	2051	1194
316	2058	1188
317	2064	1181
318	2070	1174
319	2076	1167
320	2082	1161
321	2089	1154
322	2095	1148
323	2100	1141
324	2107	1134
325	2112	1127
326	2118	1120
327	2124	1114
328	2130	1107
329	2135	1100
330	2141	1093
331	2146	1086
332	2152	1079
333	2157	1072
334	2163	1065
335	2168	1058
336	2174	1051
337	2179	1044
338	2185	1038
339	2192	1031
340	2197	1024
341	2203	1017
342	2208	1010
343	2213	1003
344	2219	997
345	2225	990
346	2231	983
347	2236	976
348	2242	970
349	2248	963
350	2253	956
351	2259	950
352	2265	943
353	2271	936
354	2277	930
355	2283	923
356	2289	917
357	2295	910
358	2301	903
359	2307	897
360	2313	890
361	2319	884
362	2325	877
363	2332	871
364	2339	865
365	2346	859
366	2352	852
367	2358	845
368	2364	839
369	2369	832
370	2375	825
371	2381	819
372	2387	812
373	2393	806
374	2399	799
375	2404	793
376	2411	786
377	2417	780
378	2423	773
379	2430	767
380	2436	761
381	2443	754
382	2448	748
383	2454	741
384	2460	734
385	2466	728
386	2471	721
387	2477	715
388	2484	708
389	2490	702
390	2496	695
391	2502	689
392	2508	682
393	2515	676
394	2521	670
395	2527	663
396	2534	657
397	2540	651
398	2547	644
399	2553	638
400	2559	632
401	2566	625
402	2572	619
403	2578	612
404	2584	606
405	2590	599
406	2596	593
407	2602	586
408	2609	580
409	2615	574
410	2621	567
411	2627	561
412	2632	554
413	2639	548
414	2645	541
415	2652	535
416	2657	528
417	2664	522
418	2670	516
419	2676	509
420	2683	503
421	2689	497
422	2695	490
423	2701	484
424	2707	477
425	2713	471
426	2718	464
427	2724	458
428	2730	451
429	2736	445
430	2742	439
431	2748	432
432	2754	426
433	2760	419
434	2767	413
435	2773	407
436	2779	400
437	2785	394
438	2791	387
439	2797	381
440	2804	375
441	2810	368
442	2816	362
443	2822	355
444	2828	349
445	2833	343
446	2839	336
447	2846	330
448	2852	324
449	2858	317
450	2863	311
451	2869	304
452	2876	298
453	2881	291
454	2887	285
455	2892	279
456	2898	272
457	2904	266
458	2909	259
459	2915	253
460	2921	247
461	2927	240
462	2933	234
463	2939	228
464	2946	221
465	2952	215
466	2958	209
467	2966	202
468	2972	196
469	2978	190
470	2985	183
471	2991	177
472	2996	171
473	3003	164
474	3009	158
475	3016	152
476	3022	145
477	3028	139
478	3035	133
479	3041	126
480	3047	120
481	3053	114
482	3059	107
483	3066	101
484	3072	95
485	3078	88
486	3084	82
487	3090	75
488	3096	69
489	3102	63
490	3108	56
491	3114	50
492	3120	44
493	3126	37
494	3132	31
495	3138	25
496	3144	18
497	3150	12
498	3156	6
499	3163	0
